### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 01:16:40] Loading new learner LearnerClassifCWB
[2021-08-02 01:16:40] Loading new learner LearnerClassifHCWB
[2021-08-02 01:16:40] Loading new learner
[2021-08-02 01:16:40] Loading tasks
[2021-08-02 01:16:43] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=48]
### [bt]: Generating problem instance for problem '7592-fold5' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold5' for job 48 (seed = 31463) ...
DEBUG [01:16:44.815] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [01:16:44.897] [mlr3]  Calling train method of Learner 'acc_acwb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
1750/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.086   time = 37893636   val_auc = 0.088   
1875/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.086   time = 40541474   val_auc = 0.087   
2000/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.086   time = 43276930   val_auc = 0.087   
2125/5000   risk = 0.36  oob_risk = 0.39   test_auc = 0.088   time = 46253455   val_auc = 0.088   
2250/5000   risk = 0.37  oob_risk = 0.4   test_auc = 0.089   time = 49259688   val_auc = 0.091   
2375/5000   risk = 0.37  oob_risk = 0.4   test_auc = 0.089   time = 52406645   val_auc = 0.092   
2500/5000   risk = 0.37  oob_risk = 0.4   test_auc = 0.087   time = 55409340   val_auc = 0.091   
2625/5000   risk = 0.39  oob_risk = 0.42   test_auc = 0.091   time = 58556079   val_auc = 0.094   
2750/5000   risk = 0.42  oob_risk = 0.45   test_auc = 0.1   time = 61707009   val_auc = 0.1   
2875/5000   risk = 0.45  oob_risk = 0.48   test_auc = 0.11   time = 64661298   val_auc = 0.11   
3000/5000   risk = 0.45  oob_risk = 0.49   test_auc = 0.1   time = 67815455   val_auc = 0.11   
3125/5000   risk = 0.48  oob_risk = 0.52   test_auc = 0.1   time = 70866451   val_auc = 0.11   
