### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:58:37] Loading new learner LearnerClassifCWB
[2021-08-02 11:58:37] Loading new learner LearnerClassifHCWB
[2021-08-02 11:58:37] Loading new learner
[2021-08-02 11:58:37] Loading tasks
[2021-08-02 11:58:40] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=57]
### [bt]: Generating problem instance for problem '168335-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '168335-fold2' for job 57 (seed = 31472) ...
DEBUG [11:58:43.782] [mlr3]  Skip subsetting of task 'Task 168335: MiniBooNE (Supervised Classification)' 
DEBUG [11:58:43.875] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 168335: MiniBooNE (Supervised Classification)' with 104051 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.61  oob_risk = 0.61   test_auc = 0.13   time = 7   val_auc = 0.13   
 125/5000   risk = 0.27  oob_risk = 0.27   test_auc = 0.047   time = 5103025   val_auc = 0.046   
 250/5000   risk = 0.25  oob_risk = 0.25   test_auc = 0.038   time = 10310963   val_auc = 0.038   
 375/5000   risk = 0.24  oob_risk = 0.24   test_auc = 0.035   time = 15313508   val_auc = 0.034   
 500/5000   risk = 0.24  oob_risk = 0.24   test_auc = 0.033   time = 20527628   val_auc = 0.033   
 625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.032   time = 25698736   val_auc = 0.032   
 750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.031   time = 30757050   val_auc = 0.031   
 875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 35974475   val_auc = 0.03   
1000/5000   risk = 0.23  oob_risk = 0.23   test_auc = 0.03   time = 41015438   val_auc = 0.03   
1125/5000   risk = 0.23  oob_risk = 0.23   test_auc = 0.029   time = 45889752   val_auc = 0.029   
1250/5000   risk = 0.23  oob_risk = 0.23   test_auc = 0.029   time = 51070681   val_auc = 0.029   
1375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 56116287   val_auc = 0.029   
1500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 61441423   val_auc = 0.028   
1625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 66246417   val_auc = 0.028   
1750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 71464510   val_auc = 0.028   
1875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 76608071   val_auc = 0.028   
2000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 81655018   val_auc = 0.028   
2125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 86950664   val_auc = 0.028   
2250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 92303607   val_auc = 0.028   
2375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 97340158   val_auc = 0.027   
2500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 102437053   val_auc = 0.027   
2625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 107459816   val_auc = 0.027   
2750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 112708361   val_auc = 0.027   
2875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 117664580   val_auc = 0.027   
3000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 122834744   val_auc = 0.027   
3125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 127767010   val_auc = 0.027   
3250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 133232682   val_auc = 0.027   
3375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 138675275   val_auc = 0.027   
3500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 144043992   val_auc = 0.027   
3625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 149502797   val_auc = 0.027   
3750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 154364181   val_auc = 0.027   
3875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 159470348   val_auc = 0.027   
4000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 165129220   val_auc = 0.027   
4125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 170590791   val_auc = 0.027   
4250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 175984220   val_auc = 0.027   
4375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 181417681   val_auc = 0.027   
4500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 186861118   val_auc = 0.026   
4625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 191872708   val_auc = 0.026   
4750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 196727869   val_auc = 0.026   
4875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 201880297   val_auc = 0.026   
5000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 206934978   val_auc = 0.026   


Train 5000 iterations in 208 Seconds.
Final risk based on the train set: 0.23

DEBUG [12:02:19.624] [mlr3]  Learner 'bin_cwb_b' on task 'Task 168335: MiniBooNE (Supervised Classification)' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=57]
### [bt]: Calculation finished!
