### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:34:12] Loading new learner LearnerClassifCWB
[2021-08-02 11:34:12] Loading new learner LearnerClassifHCWB
[2021-08-02 11:34:12] Loading new learner
[2021-08-02 11:34:12] Loading tasks
[2021-08-02 11:34:15] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=32]
### [bt]: Generating problem instance for problem '7592-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold2' for job 32 (seed = 31447) ...
DEBUG [11:34:16.559] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [11:34:16.641] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 7592: adult (Supervised Classification)' with 39073 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.23   time = 3   val_auc = 0.21   
 125/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.1   time = 1219325   val_auc = 0.099   
 250/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.098   time = 2553343   val_auc = 0.094   
 375/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.095   time = 3788189   val_auc = 0.092   
 500/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.094   time = 5070313   val_auc = 0.091   
 625/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.093   time = 6457723   val_auc = 0.091   
 750/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.093   time = 7922054   val_auc = 0.09   
 875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 9951492   val_auc = 0.09   
1000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 11315407   val_auc = 0.089   
1125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 12566636   val_auc = 0.089   
1250/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 13902910   val_auc = 0.089   
1375/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 15284095   val_auc = 0.089   
1500/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 16582642   val_auc = 0.088   
1625/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 17873092   val_auc = 0.088   
1750/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 19173546   val_auc = 0.088   
1875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 20596514   val_auc = 0.088   
2000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 22029150   val_auc = 0.088   
2125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 23441233   val_auc = 0.088   
2250/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 24846889   val_auc = 0.088   
2375/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.091   time = 26180518   val_auc = 0.088   
