### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:39:35] Loading new learner LearnerClassifCWB
[2021-08-02 11:39:35] Loading new learner LearnerClassifHCWB
[2021-08-02 11:39:35] Loading new learner
[2021-08-02 11:39:35] Loading tasks
[2021-08-02 11:39:38] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=42]
### [bt]: Generating problem instance for problem '7592-fold4' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold4' for job 42 (seed = 31457) ...
DEBUG [11:39:39.531] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [11:39:39.613] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.21   time = 3   val_auc = 0.22   
 125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.099   time = 1132414   val_auc = 0.1   
 250/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.094   time = 2368045   val_auc = 0.097   
 375/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.092   time = 3496518   val_auc = 0.095   
 500/5000   risk = 0.34  oob_risk = 0.36   test_auc = 0.091   time = 4658029   val_auc = 0.094   
 625/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.09   time = 5854232   val_auc = 0.094   
 750/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.09   time = 7212259   val_auc = 0.093   
 875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.089   time = 8490988   val_auc = 0.093   
1000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.089   time = 9945357   val_auc = 0.093   
1125/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.089   time = 11273091   val_auc = 0.092   
1250/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.088   time = 12694293   val_auc = 0.092   
1375/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.088   time = 14229937   val_auc = 0.092   
1500/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.088   time = 15731284   val_auc = 0.092   
1625/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.088   time = 17588244   val_auc = 0.092   
