### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
[2021-07-27 22:51:33] Loading new learner
[2021-07-27 22:51:33] Loading tasks
[2021-07-27 22:51:35] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=52]
### [bt]: Generating problem instance for problem '168335-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '168335-fold3' for job 52 (seed = 31467) ...
DEBUG [22:51:38.210] [mlr3]  Skip subsetting of task 'Task 168335: MiniBooNE (Supervised Classification)' 
DEBUG [22:51:38.214] [mlr3]  Calling train method of Learner 'acc_hcwb' on task 'Task 168335: MiniBooNE (Supervised Classification)' with 104051 observations {learner: <LearnerClassifCompboost/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.56  oob_risk = 0.56   riskauc = 0.85   time = 3   


Train 115 iterations in 12 Seconds.
Final risk based on the train set: 0.2

   1/4896   risk = 0.2  oob_risk = 0.21   riskauc = 0.97   time = 2   
 122/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 6672504   
 244/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 13417074   
 366/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 20083911   
 488/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 26760025   
 610/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 33473147   
 732/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 40037698   
 854/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 46637765   
 976/4896   risk = 0.21  oob_risk = 0.22   riskauc = 0.97   time = 53153470   
1098/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 59879048   
1220/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 66558525   
1342/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 73345136   
1464/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 80131246   
1586/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 86714712   
1708/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 93428083   
1830/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 100152099   
1952/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 106899927   
2074/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 113561369   
2196/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 120467613   
2318/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 127429533   
2440/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 134360531   
2562/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 141178945   
2684/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 147726293   
2806/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 154481082   
2928/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 161120885   
3050/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 168198423   
3172/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 175025214   
3294/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 181562112   
3416/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 188266753   
3538/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 194972452   
3660/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 201833551   
3782/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 208762490   
3904/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 215441599   
4026/4896   risk = 0.21  oob_risk = 0.23   riskauc = 0.97   time = 222087256   
