### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:48:57] Loading new learner LearnerClassifCWB
[2021-08-02 11:48:57] Loading new learner LearnerClassifHCWB
[2021-08-02 11:48:57] Loading new learner
[2021-08-02 11:48:57] Loading tasks
[2021-08-02 11:49:00] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=52]
### [bt]: Generating problem instance for problem '168335-fold1' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '168335-fold1' for job 52 (seed = 31467) ...
DEBUG [11:49:03.746] [mlr3]  Skip subsetting of task 'Task 168335: MiniBooNE (Supervised Classification)' 
DEBUG [11:49:03.839] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 168335: MiniBooNE (Supervised Classification)' with 104051 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.61  oob_risk = 0.61   test_auc = 0.13   time = 7   val_auc = 0.13   
 125/5000   risk = 0.27  oob_risk = 0.27   test_auc = 0.048   time = 5245978   val_auc = 0.047   
 250/5000   risk = 0.25  oob_risk = 0.25   test_auc = 0.039   time = 10749064   val_auc = 0.039   
 375/5000   risk = 0.24  oob_risk = 0.24   test_auc = 0.036   time = 16406048   val_auc = 0.035   
 500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.034   time = 22017306   val_auc = 0.034   
 625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.033   time = 27171148   val_auc = 0.032   
 750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.032   time = 32759638   val_auc = 0.032   
 875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.031   time = 37920581   val_auc = 0.031   
1000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.031   time = 43195115   val_auc = 0.031   
1125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 48531394   val_auc = 0.03   
1250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 53810612   val_auc = 0.03   
1375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 59445440   val_auc = 0.03   
1500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 64634296   val_auc = 0.029   
1625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 70288034   val_auc = 0.029   
1750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 76006285   val_auc = 0.029   
1875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 81623697   val_auc = 0.029   
2000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 87338971   val_auc = 0.029   
2125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 93060644   val_auc = 0.028   
2250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 98571015   val_auc = 0.028   
2375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 104025913   val_auc = 0.028   
2500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 109392439   val_auc = 0.028   
2625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 114885531   val_auc = 0.028   
2750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 120535215   val_auc = 0.028   
2875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 126089000   val_auc = 0.028   
3000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 131804425   val_auc = 0.028   
3125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 137381588   val_auc = 0.028   
3250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 143238169   val_auc = 0.028   
3375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 149049219   val_auc = 0.028   
3500/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 154869296   val_auc = 0.027   
3625/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 160088177   val_auc = 0.027   
3750/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 165577487   val_auc = 0.027   
3875/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 171435671   val_auc = 0.027   
4000/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 177237917   val_auc = 0.027   
4125/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 183162564   val_auc = 0.027   
4250/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 188664930   val_auc = 0.027   
4375/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 194361924   val_auc = 0.027   
4500/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 199962863   val_auc = 0.027   
4625/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 205334735   val_auc = 0.027   
4750/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 211242295   val_auc = 0.027   
4875/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 217091465   val_auc = 0.027   
5000/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 222887142   val_auc = 0.027   


Train 5000 iterations in 224 Seconds.
Final risk based on the train set: 0.22

DEBUG [11:52:56.951] [mlr3]  Learner 'bin_cwb_b' on task 'Task 168335: MiniBooNE (Supervised Classification)' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=52]
### [bt]: Calculation finished!
