### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 12:08:05] Loading new learner LearnerClassifCWB
[2021-08-02 12:08:05] Loading new learner LearnerClassifHCWB
[2021-08-02 12:08:05] Loading new learner
[2021-08-02 12:08:05] Loading tasks
[2021-08-02 12:08:09] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=62]
### [bt]: Generating problem instance for problem '168335-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '168335-fold3' for job 62 (seed = 31477) ...
DEBUG [12:08:11.853] [mlr3]  Skip subsetting of task 'Task 168335: MiniBooNE (Supervised Classification)' 
DEBUG [12:08:11.945] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 168335: MiniBooNE (Supervised Classification)' with 104051 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.61  oob_risk = 0.61   test_auc = 0.13   time = 8   val_auc = 0.13   
 125/5000   risk = 0.27  oob_risk = 0.27   test_auc = 0.048   time = 5364306   val_auc = 0.047   
 250/5000   risk = 0.25  oob_risk = 0.25   test_auc = 0.039   time = 10780386   val_auc = 0.039   
 375/5000   risk = 0.24  oob_risk = 0.24   test_auc = 0.035   time = 15953324   val_auc = 0.035   
 500/5000   risk = 0.24  oob_risk = 0.24   test_auc = 0.034   time = 21174697   val_auc = 0.033   
 625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.033   time = 26498229   val_auc = 0.032   
 750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.032   time = 31676820   val_auc = 0.031   
 875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.031   time = 36815589   val_auc = 0.031   
1000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.031   time = 41872101   val_auc = 0.03   
1125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 47267688   val_auc = 0.03   
1250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 52070942   val_auc = 0.029   
1375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.03   time = 57038802   val_auc = 0.029   
1500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 62407656   val_auc = 0.029   
1625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 67336325   val_auc = 0.029   
1750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 72739436   val_auc = 0.028   
1875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 78108592   val_auc = 0.028   
2000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 83386932   val_auc = 0.028   
2125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 89084399   val_auc = 0.028   
2250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.029   time = 94725258   val_auc = 0.028   
2375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 100184544   val_auc = 0.028   
2500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 105741518   val_auc = 0.028   
2625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 111148138   val_auc = 0.028   
2750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 116757412   val_auc = 0.027   
2875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 122194775   val_auc = 0.027   
3000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 127865583   val_auc = 0.027   
3125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 133380057   val_auc = 0.027   
3250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 139072256   val_auc = 0.027   
3375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 144710923   val_auc = 0.027   
3500/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 150506267   val_auc = 0.027   
3625/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 156057322   val_auc = 0.027   
3750/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 161883808   val_auc = 0.027   
3875/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 167473922   val_auc = 0.027   
4000/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.028   time = 173215513   val_auc = 0.027   
4125/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 179058112   val_auc = 0.027   
4250/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 184814909   val_auc = 0.027   
4375/5000   risk = 0.23  oob_risk = 0.24   test_auc = 0.027   time = 190474201   val_auc = 0.027   
4500/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 196054870   val_auc = 0.027   
4625/5000   risk = 0.22  oob_risk = 0.24   test_auc = 0.027   time = 201337149   val_auc = 0.027   
