### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 01:01:10] Loading new learner LearnerClassifCWB
[2021-08-02 01:01:10] Loading new learner LearnerClassifHCWB
[2021-08-02 01:01:10] Loading new learner
[2021-08-02 01:01:10] Loading tasks
[2021-08-02 01:01:13] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=40]
### [bt]: Generating problem instance for problem '7592-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold3' for job 40 (seed = 31455) ...
DEBUG [01:01:14.357] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [01:01:14.439] [mlr3]  Calling train method of Learner 'acc_hcwb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifHCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   riskauc = 0.22   time = 3   val_auc = 0.22   
 125/5000   risk = 0.36  oob_risk = 0.36   riskauc = 0.099   time = 2231211   val_auc = 0.1   
 250/5000   risk = 0.33  oob_risk = 0.33   riskauc = 0.09   time = 4562768   val_auc = 0.092   
 375/5000   risk = 0.33  oob_risk = 0.34   riskauc = 0.088   time = 6892720   val_auc = 0.09   
 500/5000   risk = 0.34  oob_risk = 0.35   riskauc = 0.087   time = 9254261   val_auc = 0.089   
 625/5000   risk = 0.35  oob_risk = 0.36   riskauc = 0.085   time = 11680561   val_auc = 0.089   
 750/5000   risk = 0.35  oob_risk = 0.37   riskauc = 0.084   time = 14049884   val_auc = 0.088   
 875/5000   risk = 0.35  oob_risk = 0.37   riskauc = 0.083   time = 16409543   val_auc = 0.087   
1000/5000   risk = 0.36  oob_risk = 0.37   riskauc = 0.083   time = 18755017   val_auc = 0.087   


Train 1059 iterations in 21 Seconds.
Final risk based on the train set: 0.36

   1/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.083   time = 2   val_auc = 0.087   
  99/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.083   time = 1278544   val_auc = 0.087   
 198/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.083   time = 2485691   val_auc = 0.087   
 297/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.083   time = 4146448   val_auc = 0.087   
 396/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.082   time = 5569156   val_auc = 0.087   
 495/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.082   time = 6807740   val_auc = 0.087   
 594/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.082   time = 8116467   val_auc = 0.087   
 693/3952   risk = 0.36  oob_risk = 0.37   riskauc = 0.082   time = 9426688   val_auc = 0.087   
 792/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 10995002   val_auc = 0.087   
 891/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 12423581   val_auc = 0.087   
 990/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 13794060   val_auc = 0.087   
1089/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 15069344   val_auc = 0.087   
1188/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 16495334   val_auc = 0.087   
1287/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 17840553   val_auc = 0.087   
1386/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 19154555   val_auc = 0.087   
1485/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 20473772   val_auc = 0.087   
1584/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 21836527   val_auc = 0.087   
1683/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 23082883   val_auc = 0.087   
1782/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 24337678   val_auc = 0.087   
1881/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 25630460   val_auc = 0.087   
1980/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 27221434   val_auc = 0.087   
2079/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 28614399   val_auc = 0.087   
2178/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 29851020   val_auc = 0.087   
2277/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 31089133   val_auc = 0.087   
2376/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 32335584   val_auc = 0.087   
2475/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 33608837   val_auc = 0.087   
2574/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 34988068   val_auc = 0.087   
2673/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 36446729   val_auc = 0.087   
2772/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 37886950   val_auc = 0.087   
2871/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 39234107   val_auc = 0.087   
2970/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 40560917   val_auc = 0.087   
3069/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 41874428   val_auc = 0.087   
3168/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 43241873   val_auc = 0.087   
3267/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 44677556   val_auc = 0.087   
3366/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 45998207   val_auc = 0.087   
3465/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 47298234   val_auc = 0.087   
3564/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 48578705   val_auc = 0.087   
3663/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 49883895   val_auc = 0.087   
3762/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 51519242   val_auc = 0.087   
3861/3952   risk = 0.36  oob_risk = 0.38   riskauc = 0.082   time = 53057841   val_auc = 0.087   


Train 3952 iterations in 54 Seconds.
Final risk based on the train set: 0.36

DEBUG [01:02:34.269] [mlr3]  Learner 'acc_hcwb' on task 'Task 7592: adult (Supervised Classification)' succeeded to fit a model {learner: <LearnerClassifHCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=40]
### [bt]: Calculation finished!
