### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 13:38:17] Loading new learner LearnerClassifCWB
[2021-08-02 13:38:17] Loading new learner LearnerClassifHCWB
[2021-08-02 13:38:17] Loading new learner
[2021-08-02 13:38:17] Loading tasks
[2021-08-02 13:38:21] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=87]
### [bt]: Generating problem instance for problem '189866-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '189866-fold3' for job 87 (seed = 31502) ...
DEBUG [13:38:26.711] [mlr3]  Skip subsetting of task 'Task 189866: albert (Supervised Classification)' 
DEBUG [13:38:26.806] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 189866: albert (Supervised Classification)' with 340192 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.69  oob_risk = 0.69   test_auc = 0.36   time = 3   val_auc = 0.36   
 125/5000   risk = 0.62  oob_risk = 0.63   test_auc = 0.29   time = 13501312   val_auc = 0.29   
 250/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.28   time = 27633901   val_auc = 0.28   
 375/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.28   time = 42308253   val_auc = 0.28   
 500/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 57426912   val_auc = 0.27   
 625/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 72217038   val_auc = 0.27   
 750/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 87026380   val_auc = 0.27   
 875/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 102332675   val_auc = 0.27   
1000/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 117696147   val_auc = 0.27   
1125/5000   risk = 0.64  oob_risk = 0.65   test_auc = 0.27   time = 132908552   val_auc = 0.27   
1250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 148080476   val_auc = 0.27   
1375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 163370972   val_auc = 0.27   
1500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 178305032   val_auc = 0.27   
1625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 193551995   val_auc = 0.27   
1750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 208547934   val_auc = 0.27   
1875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 223215538   val_auc = 0.27   
2000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 238336402   val_auc = 0.27   
2125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 253584123   val_auc = 0.27   
2250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 268703075   val_auc = 0.27   
