### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 16:59:21] Loading new learner LearnerClassifCWB
[2021-08-02 16:59:21] Loading new learner LearnerClassifHCWB
[2021-08-02 16:59:21] Loading new learner
[2021-08-02 16:59:21] Loading tasks
[2021-08-02 16:59:24] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=127]
### [bt]: Generating problem instance for problem '9977-fold1' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '9977-fold1' for job 127 (seed = 31542) ...
DEBUG [16:59:25.656] [mlr3]  Skip subsetting of task 'Task 9977: nomao (Supervised Classification)' 
DEBUG [16:59:25.750] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 9977: nomao (Supervised Classification)' with 27571 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.46  oob_risk = 0.45   test_auc = 0.11   time = 14   val_auc = 0.11   
 125/5000   risk = 0.14  oob_risk = 0.14   test_auc = 0.027   time = 2521105   val_auc = 0.02   
 250/5000   risk = 0.12  oob_risk = 0.12   test_auc = 0.022   time = 4865387   val_auc = 0.015   
 375/5000   risk = 0.12  oob_risk = 0.12   test_auc = 0.02   time = 7251793   val_auc = 0.013   
 500/5000   risk = 0.11  oob_risk = 0.11   test_auc = 0.019   time = 9660417   val_auc = 0.012   
 625/5000   risk = 0.11  oob_risk = 0.11   test_auc = 0.018   time = 11903757   val_auc = 0.012   
 750/5000   risk = 0.11  oob_risk = 0.11   test_auc = 0.018   time = 14320591   val_auc = 0.011   
 875/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 16529030   val_auc = 0.011   
1000/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 18859035   val_auc = 0.011   
1125/5000   risk = 0.1  oob_risk = 0.1   test_auc = 0.017   time = 21236685   val_auc = 0.01   
1250/5000   risk = 0.1  oob_risk = 0.1   test_auc = 0.017   time = 23460897   val_auc = 0.01   
1375/5000   risk = 0.1  oob_risk = 0.1   test_auc = 0.017   time = 25753288   val_auc = 0.01   
1500/5000   risk = 0.1  oob_risk = 0.1   test_auc = 0.017   time = 28013438   val_auc = 0.0099   
