### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 14:03:59] Loading new learner LearnerClassifCWB
[2021-08-02 14:03:59] Loading new learner LearnerClassifHCWB
[2021-08-02 14:03:59] Loading new learner
[2021-08-02 14:03:59] Loading tasks
[2021-08-02 14:04:03] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=92]
### [bt]: Generating problem instance for problem '189866-fold4' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '189866-fold4' for job 92 (seed = 31507) ...
DEBUG [14:04:08.556] [mlr3]  Skip subsetting of task 'Task 189866: albert (Supervised Classification)' 
DEBUG [14:04:08.650] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 189866: albert (Supervised Classification)' with 340192 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.69  oob_risk = 0.69   test_auc = 0.36   time = 3   val_auc = 0.36   
 125/5000   risk = 0.63  oob_risk = 0.62   test_auc = 0.29   time = 14917715   val_auc = 0.29   
 250/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.28   time = 29669701   val_auc = 0.28   
 375/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.27   time = 45009100   val_auc = 0.27   
 500/5000   risk = 0.64  oob_risk = 0.63   test_auc = 0.27   time = 60074096   val_auc = 0.27   
 625/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 75193318   val_auc = 0.27   
 750/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 90562519   val_auc = 0.27   
 875/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 105839683   val_auc = 0.27   
1000/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 121114309   val_auc = 0.27   
1125/5000   risk = 0.65  oob_risk = 0.64   test_auc = 0.27   time = 136493704   val_auc = 0.27   
1250/5000   risk = 0.65  oob_risk = 0.64   test_auc = 0.27   time = 151855299   val_auc = 0.27   
1375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 166915068   val_auc = 0.27   
1500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 181816410   val_auc = 0.27   
1625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 196625961   val_auc = 0.27   
1750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 211632178   val_auc = 0.27   
1875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 226678242   val_auc = 0.27   
2000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 241768496   val_auc = 0.27   
2125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 256556284   val_auc = 0.27   
2250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 271168051   val_auc = 0.27   
2375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 286004378   val_auc = 0.27   
2500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 301071329   val_auc = 0.27   
2625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 315946424   val_auc = 0.27   
2750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 330937715   val_auc = 0.27   
2875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 346031343   val_auc = 0.27   
3000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 361540706   val_auc = 0.27   
3125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 376373347   val_auc = 0.27   
3250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 391262864   val_auc = 0.27   
3375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 406407712   val_auc = 0.27   
3500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 421245494   val_auc = 0.27   
3625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 436259161   val_auc = 0.27   
3750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 451150095   val_auc = 0.27   
3875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 466502333   val_auc = 0.27   
4000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 482173565   val_auc = 0.27   
4125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 497645929   val_auc = 0.27   
4250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 513110113   val_auc = 0.27   
4375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 528421867   val_auc = 0.27   
4500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 543633134   val_auc = 0.27   
4625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 558618839   val_auc = 0.27   
4750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 573755605   val_auc = 0.27   
4875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 588800702   val_auc = 0.27   
5000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.26   time = 603721443   val_auc = 0.27   


Train 5000 iterations in 605 Seconds.
Final risk based on the train set: 0.65

DEBUG [14:14:43.587] [mlr3]  Learner 'bin_cwb_b' on task 'Task 189866: albert (Supervised Classification)' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=92]
### [bt]: Calculation finished!
