### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 17:06:56] Loading new learner LearnerClassifCWB
[2021-08-02 17:06:56] Loading new learner LearnerClassifHCWB
[2021-08-02 17:06:56] Loading new learner
[2021-08-02 17:06:56] Loading tasks
[2021-08-02 17:06:59] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=142]
### [bt]: Generating problem instance for problem '9977-fold4' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '9977-fold4' for job 142 (seed = 31557) ...
DEBUG [17:07:00.576] [mlr3]  Skip subsetting of task 'Task 9977: nomao (Supervised Classification)' 
DEBUG [17:07:00.669] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 9977: nomao (Supervised Classification)' with 27572 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.46  oob_risk = 0.45   test_auc = 0.11   time = 3   val_auc = 0.11   
 125/5000   risk = 0.14  oob_risk = 0.14   test_auc = 0.025   time = 2363026   val_auc = 0.021   
 250/5000   risk = 0.12  oob_risk = 0.13   test_auc = 0.021   time = 4877441   val_auc = 0.016   
 375/5000   risk = 0.11  oob_risk = 0.12   test_auc = 0.02   time = 7257316   val_auc = 0.014   
 500/5000   risk = 0.11  oob_risk = 0.11   test_auc = 0.018   time = 9672645   val_auc = 0.013   
 625/5000   risk = 0.11  oob_risk = 0.11   test_auc = 0.018   time = 11897271   val_auc = 0.012   
 750/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 14211271   val_auc = 0.012   
 875/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 16395241   val_auc = 0.012   
1000/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 18742079   val_auc = 0.011   
1125/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.017   time = 21010203   val_auc = 0.011   
1250/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.016   time = 23328840   val_auc = 0.011   
1375/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.016   time = 25535385   val_auc = 0.011   
1500/5000   risk = 0.1  oob_risk = 0.11   test_auc = 0.016   time = 27763962   val_auc = 0.011   
1625/5000   risk = 0.099  oob_risk = 0.11   test_auc = 0.016   time = 30131129   val_auc = 0.01   
1750/5000   risk = 0.099  oob_risk = 0.11   test_auc = 0.016   time = 32385786   val_auc = 0.01   
1875/5000   risk = 0.098  oob_risk = 0.11   test_auc = 0.016   time = 34888754   val_auc = 0.01   
2000/5000   risk = 0.098  oob_risk = 0.11   test_auc = 0.016   time = 37179977   val_auc = 0.01   
2125/5000   risk = 0.098  oob_risk = 0.11   test_auc = 0.016   time = 39436818   val_auc = 0.01   
2250/5000   risk = 0.097  oob_risk = 0.11   test_auc = 0.016   time = 41695906   val_auc = 0.01   
2375/5000   risk = 0.097  oob_risk = 0.11   test_auc = 0.016   time = 43954479   val_auc = 0.0099   
2500/5000   risk = 0.097  oob_risk = 0.11   test_auc = 0.016   time = 46391946   val_auc = 0.0098   
2625/5000   risk = 0.097  oob_risk = 0.11   test_auc = 0.016   time = 48596195   val_auc = 0.0098   
2750/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 50990556   val_auc = 0.0097   
2875/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 53241623   val_auc = 0.0097   
3000/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 55683293   val_auc = 0.0096   
3125/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 57898939   val_auc = 0.0096   
3250/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 60292628   val_auc = 0.0095   
3375/5000   risk = 0.096  oob_risk = 0.11   test_auc = 0.016   time = 62477579   val_auc = 0.0095   
3500/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 64815351   val_auc = 0.0094   
3625/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 67235361   val_auc = 0.0094   
3750/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 69471658   val_auc = 0.0093   
3875/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 71833109   val_auc = 0.0093   
4000/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 74133133   val_auc = 0.0093   
4125/5000   risk = 0.095  oob_risk = 0.11   test_auc = 0.016   time = 76474509   val_auc = 0.0092   
4250/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 78796132   val_auc = 0.0092   
4375/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 81080590   val_auc = 0.0092   
4500/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 83358468   val_auc = 0.0091   
4625/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 85804493   val_auc = 0.0091   
4750/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 88150369   val_auc = 0.0091   
4875/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 90584379   val_auc = 0.009   
5000/5000   risk = 0.094  oob_risk = 0.11   test_auc = 0.016   time = 92965688   val_auc = 0.009   


Train 5000 iterations in 94 Seconds.
Final risk based on the train set: 0.094

