### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:32:46] Loading new learner LearnerClassifCWB
[2021-08-02 11:32:46] Loading new learner LearnerClassifHCWB
[2021-08-02 11:32:46] Loading new learner
[2021-08-02 11:32:46] Loading tasks
[2021-08-02 11:32:49] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=31]
### [bt]: Generating problem instance for problem '7592-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold2' for job 31 (seed = 31446) ...
DEBUG [11:32:50.733] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [11:32:50.816] [mlr3]  Calling train method of Learner 'bin_cwb_nb' on task 'Task 7592: adult (Supervised Classification)' with 39073 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.23   time = 3   val_auc = 0.21   
 125/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.1   time = 1456217   val_auc = 0.099   
 250/5000   risk = 0.34  oob_risk = 0.34   test_auc = 0.098   time = 3057276   val_auc = 0.094   
 375/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.095   time = 4592984   val_auc = 0.092   
 500/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.094   time = 6107894   val_auc = 0.091   
 625/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.093   time = 7673919   val_auc = 0.091   
 750/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.093   time = 9320517   val_auc = 0.09   
 875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 11226250   val_auc = 0.09   
1000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 13413890   val_auc = 0.089   
1125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.092   time = 15026011   val_auc = 0.089   
1250/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 16784177   val_auc = 0.089   
1375/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 18529955   val_auc = 0.089   
1500/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 20417090   val_auc = 0.088   
1625/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 22441143   val_auc = 0.088   
1750/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 24414795   val_auc = 0.088   
1875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 26322164   val_auc = 0.088   
2000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 28094667   val_auc = 0.088   
2125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 29892975   val_auc = 0.088   
2250/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 31634694   val_auc = 0.088   
2375/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 33286298   val_auc = 0.088   
2500/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.091   time = 35029822   val_auc = 0.088   
2625/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.091   time = 36699898   val_auc = 0.088   
2750/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 38282996   val_auc = 0.088   
2875/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 39995367   val_auc = 0.088   
3000/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 41560866   val_auc = 0.088   
3125/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 43104739   val_auc = 0.088   
3250/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 44657484   val_auc = 0.088   
3375/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 46279523   val_auc = 0.088   
3500/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 47803334   val_auc = 0.087   
3625/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.09   time = 49467233   val_auc = 0.087   
