### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 00:57:18] Loading new learner LearnerClassifCWB
[2021-08-02 00:57:18] Loading new learner LearnerClassifHCWB
[2021-08-02 00:57:18] Loading new learner
[2021-08-02 00:57:18] Loading tasks
[2021-08-02 00:57:21] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=38]
### [bt]: Generating problem instance for problem '7592-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold3' for job 38 (seed = 31453) ...
DEBUG [00:57:22.783] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [00:57:22.864] [mlr3]  Calling train method of Learner 'acc_acwb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.22   time = 3   val_auc = 0.22   
 125/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.099   time = 2307966   val_auc = 0.1   
 250/5000   risk = 0.33  oob_risk = 0.33   test_auc = 0.09   time = 4769239   val_auc = 0.092   
 375/5000   risk = 0.33  oob_risk = 0.34   test_auc = 0.088   time = 7326335   val_auc = 0.09   
 500/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.087   time = 9771662   val_auc = 0.089   
 625/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.085   time = 12338970   val_auc = 0.089   
 750/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.084   time = 15204648   val_auc = 0.088   
 875/5000   risk = 0.35  oob_risk = 0.37   test_auc = 0.083   time = 17864754   val_auc = 0.087   
1000/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.083   time = 20334718   val_auc = 0.087   
1125/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.083   time = 23313240   val_auc = 0.087   
1250/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.083   time = 26383266   val_auc = 0.087   
1375/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.083   time = 29494826   val_auc = 0.087   
1500/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.083   time = 32245324   val_auc = 0.087   
1625/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.083   time = 35002989   val_auc = 0.087   
1750/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.084   time = 37846039   val_auc = 0.087   
1875/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.085   time = 40902712   val_auc = 0.087   
2000/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.084   time = 43840263   val_auc = 0.087   
2125/5000   risk = 0.37  oob_risk = 0.38   test_auc = 0.086   time = 46981557   val_auc = 0.088   
2250/5000   risk = 0.38  oob_risk = 0.39   test_auc = 0.088   time = 50037760   val_auc = 0.09   
2375/5000   risk = 0.38  oob_risk = 0.4   test_auc = 0.09   time = 53002487   val_auc = 0.092   
2500/5000   risk = 0.39  oob_risk = 0.41   test_auc = 0.091   time = 56339003   val_auc = 0.094   
2625/5000   risk = 0.4  oob_risk = 0.42   test_auc = 0.093   time = 59599372   val_auc = 0.095   
2750/5000   risk = 0.41  oob_risk = 0.43   test_auc = 0.095   time = 62845139   val_auc = 0.097   
2875/5000   risk = 0.44  oob_risk = 0.46   test_auc = 0.1   time = 66262583   val_auc = 0.1   
3000/5000   risk = 0.48  oob_risk = 0.5   test_auc = 0.11   time = 69259485   val_auc = 0.11   
3125/5000   risk = 0.51  oob_risk = 0.54   test_auc = 0.11   time = 72202563   val_auc = 0.12   
3250/5000   risk = 0.54  oob_risk = 0.58   test_auc = 0.12   time = 75397660   val_auc = 0.12   
3375/5000   risk = 0.56  oob_risk = 0.62   test_auc = 0.12   time = 78567140   val_auc = 0.12   
3500/5000   risk = 0.62  oob_risk = 0.68   test_auc = 0.13   time = 81692112   val_auc = 0.13   
3625/5000   risk = 0.74  oob_risk = 0.8   test_auc = 0.14   time = 84861488   val_auc = 0.14   
3750/5000   risk = 0.87  oob_risk = 0.93   test_auc = 0.15   time = 88085852   val_auc = 0.15   
3875/5000   risk = 0.91  oob_risk = 0.96   test_auc = 0.15   time = 91552020   val_auc = 0.15   
4000/5000   risk = 0.89  oob_risk = 0.92   test_auc = 0.14   time = 95449886   val_auc = 0.14   
4125/5000   risk = 0.93  oob_risk = 0.95   test_auc = 0.14   time = 98912071   val_auc = 0.14   
