### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:35:25] Loading new learner LearnerClassifCWB
[2021-08-02 11:35:25] Loading new learner LearnerClassifHCWB
[2021-08-02 11:35:25] Loading new learner
[2021-08-02 11:35:25] Loading tasks
[2021-08-02 11:35:29] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=36]
### [bt]: Generating problem instance for problem '7592-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold3' for job 36 (seed = 31451) ...
DEBUG [11:35:30.137] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [11:35:30.248] [mlr3]  Calling train method of Learner 'bin_cwb_nb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.22   time = 2   val_auc = 0.22   
 125/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.098   time = 1403548   val_auc = 0.098   
 250/5000   risk = 0.34  oob_risk = 0.34   test_auc = 0.094   time = 2941955   val_auc = 0.093   
 375/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.092   time = 4371108   val_auc = 0.092   
 500/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.091   time = 5856753   val_auc = 0.091   
 625/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.09   time = 7366735   val_auc = 0.09   
 750/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.09   time = 8943525   val_auc = 0.09   
 875/5000   risk = 0.35  oob_risk = 0.35   test_auc = 0.089   time = 10742851   val_auc = 0.09   
1000/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.088   time = 12660401   val_auc = 0.089   
1125/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.088   time = 14546330   val_auc = 0.089   
1250/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.088   time = 16475240   val_auc = 0.089   
1375/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.087   time = 18246531   val_auc = 0.089   
1500/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.087   time = 19875548   val_auc = 0.089   
1625/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.087   time = 21550545   val_auc = 0.089   
1750/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.087   time = 23232246   val_auc = 0.089   
1875/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.087   time = 25175230   val_auc = 0.089   
2000/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.087   time = 26882882   val_auc = 0.088   
2125/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 28631598   val_auc = 0.088   
2250/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 30436383   val_auc = 0.088   
2375/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 32120959   val_auc = 0.088   
2500/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 33725131   val_auc = 0.088   
2625/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 35414887   val_auc = 0.088   
2750/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 37031118   val_auc = 0.088   
2875/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 38831985   val_auc = 0.088   
3000/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.086   time = 40692850   val_auc = 0.088   
3125/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 42668668   val_auc = 0.088   
3250/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 44852235   val_auc = 0.088   
3375/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 47198150   val_auc = 0.088   
3500/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 49230161   val_auc = 0.088   
3625/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 51199578   val_auc = 0.088   
3750/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 53190563   val_auc = 0.088   
3875/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.085   time = 55193013   val_auc = 0.088   
