### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 00:47:34] Loading new learner LearnerClassifCWB
[2021-08-02 00:47:34] Loading new learner LearnerClassifHCWB
[2021-08-02 00:47:34] Loading new learner
[2021-08-02 00:47:34] Loading tasks
[2021-08-02 00:47:37] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=33]
### [bt]: Generating problem instance for problem '7592-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold2' for job 33 (seed = 31448) ...
DEBUG [00:47:38.908] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [00:47:38.989] [mlr3]  Calling train method of Learner 'acc_acwb' on task 'Task 7592: adult (Supervised Classification)' with 39073 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.23   time = 3   val_auc = 0.21   
 125/5000   risk = 0.36  oob_risk = 0.36   test_auc = 0.1   time = 2224770   val_auc = 0.1   
 250/5000   risk = 0.32  oob_risk = 0.33   test_auc = 0.095   time = 4555841   val_auc = 0.091   
 375/5000   risk = 0.33  oob_risk = 0.33   test_auc = 0.093   time = 6901853   val_auc = 0.089   
 500/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.092   time = 9297919   val_auc = 0.088   
 625/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.091   time = 11694777   val_auc = 0.087   
 750/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.089   time = 14076917   val_auc = 0.086   
 875/5000   risk = 0.35  oob_risk = 0.36   test_auc = 0.089   time = 16391012   val_auc = 0.086   
1000/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.088   time = 18951774   val_auc = 0.086   
1125/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 21719737   val_auc = 0.085   
1250/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 24781314   val_auc = 0.085   
1375/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 28028574   val_auc = 0.085   
1500/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 31154675   val_auc = 0.085   
1625/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.086   time = 34164425   val_auc = 0.085   
1750/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 37148278   val_auc = 0.085   
1875/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 40092719   val_auc = 0.085   
2000/5000   risk = 0.36  oob_risk = 0.37   test_auc = 0.087   time = 43123765   val_auc = 0.085   
2125/5000   risk = 0.37  oob_risk = 0.38   test_auc = 0.09   time = 46403308   val_auc = 0.087   
2250/5000   risk = 0.37  oob_risk = 0.39   test_auc = 0.092   time = 50018634   val_auc = 0.089   
2375/5000   risk = 0.37  oob_risk = 0.39   test_auc = 0.092   time = 53273138   val_auc = 0.09   
2500/5000   risk = 0.37  oob_risk = 0.4   test_auc = 0.093   time = 56532534   val_auc = 0.09   
2625/5000   risk = 0.4  oob_risk = 0.42   test_auc = 0.096   time = 59684223   val_auc = 0.094   
2750/5000   risk = 0.42  oob_risk = 0.44   test_auc = 0.1   time = 62865090   val_auc = 0.099   
2875/5000   risk = 0.43  oob_risk = 0.46   test_auc = 0.11   time = 65850619   val_auc = 0.1   
